Name,Value,MOE
Total number of housing units,10082356,678
Owner-occupied housing units,5756809,31548
Renter-occupied housing units,2794102,15563
Single-family detached units,5514791,14940
Home ownership rate,67.3,0.3
Vacancy rate,15.2,0.2
Percent with a broadband internet subscription,90.2,0.2
Median owner-occupied housing unit value,325000,895
Average housing value,426156,3996
Median selected monthly owner cost,1271,5
Average monthly owner cost (with a mortgage),1215,11
Median rent (housing),1564,6
Average rent (housing),1469,13
Median year structure built,1988,1
