Name,Value,MOE
Total number of employer and nonemployer businesses,6517271,
"Total sales, value of shipments, or revenue of employer and nonemployer businesses ($1,000)",0,
Minority-owned non-employer businesses,2994100,
White-owned non-employer businesses,4029750,
Black-owned non-employer businesses,1014580,
American Indian- and Alaska Native-owned employer businesses,39000,
Asian-owned non-employer businesses,253570,
Native Hawaiian- and Other Pacific Islander-owned non-employer businesses,11870,
Hispanic-owned non-employer businesses,2001550,
Female-owned non-employer businesses,2376200,
Male-owned non-employer businesses,2774000,
Veteran-owned non-employer businesses,227760,
