Name,Value,MOE
Establishments,908926,
Number of establishments change (2023 to 2024),27102,
Number of establishments percent change (2023 to 2024) (%),3.1,
Number of establishments location quotient,1.02,
Employment (1st month of the quarter),8659467,
Employment change month 1 (1st month of the quarter in 2023 to 2024),-13289,
Employment percent change (1st month of the quarter in 2023 to 2024) (%),-0.2,
Employment location quotient (1st month of the quarter),1.04,
Employment (2nd month of the quarter),8846415,
Employment change month 2 (2nd month of the quarter in 2023 to 2024),97809,
Employment percent change (2nd month of the quarter in 2023 to 2024) (%),1.1,
Employment location quotient (2nd month of the quarter),1.04,
Employment (3rd month of the quarter),8850160,
Employment change month 3 (3rd month of the quarter in 2023 to 2024),86121,
Employment percent change (3rd month of the quarter in 2023 to 2024) (%),1,
Employment location quotient (3rd month of the quarter),1.04,
Total wages ($),160582641940,
Total wages change (2023 to 2024) ($),9919350791,
Total wages percent change (2023 to 2024) (%),6.6,
Total wages location quotient,1.03,
Average weekly wages ($),1406,
Average weekly wages change (2023 to 2024) ($),78,
Average weekly wages percent change (2023 to 2024) (%),5.9,
Average weekly wages location quotient,0.99,
