Name,Value,MOE
Median household income,71711,282
Average income,102130,632
Percent high school degree or higher,89.6,0.1
Percent Bachelor's degree or higher,33.2,0.2
Average household size,2.51,
Percent in poverty,12.6,0.1
Percent population 16 years and over in labor force,59.6,0.1
Percent employed,56.3,0.1
Percent disabled,13.5,0.1
Percent with health coverage,88.1,0.1
Percent of all workers 16 and over who commute to work,86.1,0.2
Percent who drive alone to work,72.1,0.2
Percent who carpool to work,9,0.1
Percent who use public transportation to commute to work,1.2,0
Percent who walk to work,1.4,0
Percent who use other means to commute to work,2.4,0.1
Percent who work from home,13.9,0.1
Average travel time to work (mins),28,0.1
Percent with no vehicles available,5.9,0.1
Percent with 1 vehicle available,38.8,0.1
Percent with 2 or more vehicles available,55.3,0.2
Percent veterans,7.7,0.1
Percent foreign born,21.4,
Percent speaking Spanish at home,22.2,0.1
Percent speaking other Indo-European languages at home,5.6,0.1
Percent speaking other Asian and Pacific Island languages at home,1.6,0
