Name,Value,MOE
Total consumer expenditures per household ,95113.47,
Consumer expenditures per household on Alcoholic beverages,609.99,
Consumer expenditures per household on Alcoholic beverages consumed at home,373.52,
Consumer expenditures per household on Apparel & services,2322.94,
Consumer expenditures per household on Men's Apparel,425.5,
Consumer expenditures per household on Women's Apparel,784.88,
Consumer expenditures per household on Children's Apparel,378.77,
Consumer expenditures per household on Boys' Apparel,140.55,
Consumer expenditures per household on Girls' Apparel,138.53,
Consumer expenditures per household on Footware,486.61,
Consumer expenditures per household on Dining out (Food away from home),3843.3,
Consumer expenditures per household on Education,1568.24,
Consumer expenditures per household on Entertainment / Recreation,3908.22,
Consumer expenditures per household on Club membership fees,277.86,
Consumer expenditures per household on Dating services,0.84,
Consumer expenditures per household on Pet food,361.71,
Consumer expenditures per household on Pet services,100.46,
Consumer expenditures per household on Food consumed at home,7106.55,
Consumer expenditures per household on Bakery products consumed at home,907.69,
Consumer expenditures per household on Dairy products consumed at home,665.48,
Consumer expenditures per household on Fruits and vegetables consumed at home,1374.14,
"Consumer expenditures per household on Meat, poultry, fish, and eggs consumed at home",1542.56,
Consumer expenditures per household on Nonalcoholic beverages consumed at home,740.42,
Consumer expenditures per household on Snacks and other food products consumed at home,2616.68,
Consumer expenditures per household on Health Care,7552.98,
Consumer expenditures per household on Medical services,1477.62,
Consumer expenditures per household on Nonprescription drugs,182.35,
Consumer expenditures per household on Household Services,2672.58,
Consumer expenditures per household on Care for the elderly and handicapped,27.74,
Consumer expenditures per household on Lawn and garden services,675.33,
Consumer expenditures per household on Housekeeping services,225.84,
Consumer expenditures per household on PC repair,5.47,
Consumer expenditures per household on Housing,30952.34,
Consumer expenditures per household on Home improvements,5284.97,
"Consumer expenditures per household on Utilities, fuel, and public services",5964.3,
Consumer expenditures per household on Phone services,1942.39,
Consumer expenditures per household on Water,958.41,
Consumer expenditures per household on Life and other insurance,647.23,
Consumer expenditures per household on Pensions and social security,10007.32,
Consumer expenditures per household on Personal Care Products and Services,948.26,
Consumer expenditures per household on Hair care products,101.82,
Consumer expenditures per household on Personal care products,406.87,
Consumer expenditures per household on Local Transportation,11127.03,
Consumer expenditures per household on Gasoline,3262.93,
Consumer expenditures per household on Vehicle maintenance and repair,1457.37,
Consumer expenditures per household on Travel,2829.31,
Consumer expenditures per household on Airline fares,569.68,
Consumer expenditures per household on Auto/Truck rental on trips,109.66,
Consumer expenditures per household on Lodging on trips,920.79,
Consumer expenditures per household on Food and drink on trips,698.94,
Consumer expenditures per household on Entertainment on trips,170.25,
Consumer expenditures per household on Child Care,517.91,
Consumer expenditures per household on Day Care/Nursery & Preschools,375.16,
Consumer expenditures per household on Babysitting/Child Care in Own/Other Home,142.76,
