Name,Value,MOE
All Employer establishments (Total),258377,
Average employment per employer,16,
Establishments with less than 5 employees,147681,
Establishments with 5 to 9 employees,43046,
Average payroll per employee,61189,
Establishments with 10 to 19 employees,30902,
Establishments with 20 to 49 employees,23003,
Establishments with 50 to 99 employees,7253,
Population per employer,41,
Establishments with 100 to 249 employees,4451,
Establishments with 250 to 499 employees,1253,
Establishments with 500 to 999 employees,486,
"Establishments with 1,000 employees or more",302,
Total employment of employers,4249362,
"Total annual payroll of employers ($1,000)",260014888,
Number of farm operations (Ag only),18911,
Total contract and hired labor expense (Ag only),n/a,
Total operating expense (Ag only),2668559000,
Establishment Entrants,28378,
Establishment Exits,24531,
All Employer firms (Total),175195,
Firms Age 0 (startups),18554,
Firms Age 1-5 Years,49455,
Firms Age 6-10 Year,28243,
Firms Age 11+ Years,70151,
Firms born before 1977,8792,
Firms with 1 to 19 employees,157147,
Firms with 20 to 499 employees,20691,
Firms with 500 or more employees,508,
