Name,Value,MOE
Total Civilian employed population 16 years and over,5130869,15337
"Agriculture, forestry, fishing and hunting, and mining",51915,2040
"Arts, entertainment, and recreation, and accommodation and food services",441541,6922
Construction,354042,6261
"Educational services, and health care and social assistance",1072410,11629
"Finance and insurance, and real estate and rental and leasing",326945,4901
Information,112484,3021
Manufacturing,521766,7426
"Other services, except public administration",237369,5139
"Professional, scientific, and management, and administrative and waste management services",694466,8573
Public administration,243349,4563
Retail trade,572313,6791
"Transportation and warehousing, and utilities",371338,6834
Wholesale trade,130931,4451
