Name,Value,MOE
Total number of housing units,4483873,944
Owner-occupied housing units,2619529,16608
Renter-occupied housing units,1388484,11571
Single-family detached units,2975705,9854
Home ownership rate,65.4,0.4
Vacancy rate,10.6,0.2
Percent with a broadband internet subscription,89.4,0.3
Median owner-occupied housing unit value,272900,1058
Average housing value,342776,3727
Median selected monthly owner cost,1254,6
Average monthly owner cost (with a mortgage),1255,13
Median rent (housing),1306,6
Average rent (housing),1156,15
Median year structure built,1991,1
