Name,Value,MOE
Total number of employer and nonemployer businesses,2624441,
"Total sales, value of shipments, or revenue of employer and nonemployer businesses ($1,000)",0,
Minority-owned non-employer businesses,1200100,
White-owned non-employer businesses,1198600,
Black-owned non-employer businesses,867980,
American Indian- and Alaska Native-owned employer businesses,17840,
Asian-owned non-employer businesses,153050,
Native Hawaiian- and Other Pacific Islander-owned non-employer businesses,3450,
Hispanic-owned non-employer businesses,239380,
Female-owned non-employer businesses,1068230,
Male-owned non-employer businesses,1109400,
Veteran-owned non-employer businesses,130520,
