Name,Value,MOE
Establishments,388095,
Number of establishments change (2023 to 2024),4465,
Number of establishments percent change (2023 to 2024) (%),1.2,
Number of establishments location quotient,1,
Employment (1st month of the quarter),4194526,
Employment change month 1 (1st month of the quarter in 2023 to 2024),24805,
Employment percent change (1st month of the quarter in 2023 to 2024) (%),0.6,
Employment location quotient (1st month of the quarter),1.01,
Employment (2nd month of the quarter),4225837,
Employment change month 2 (2nd month of the quarter in 2023 to 2024),26024,
Employment percent change (2nd month of the quarter in 2023 to 2024) (%),0.6,
Employment location quotient (2nd month of the quarter),1.01,
Employment (3rd month of the quarter),4228260,
Employment change month 3 (3rd month of the quarter in 2023 to 2024),25814,
Employment percent change (3rd month of the quarter in 2023 to 2024) (%),0.6,
Employment location quotient (3rd month of the quarter),1.01,
Total wages ($),77466789347,
Total wages change (2023 to 2024) ($),4054178824,
Total wages percent change (2023 to 2024) (%),5.5,
Total wages location quotient,1.01,
Average weekly wages ($),1413,
Average weekly wages change (2023 to 2024) ($),65,
Average weekly wages percent change (2023 to 2024) (%),4.8,
Average weekly wages location quotient,1.01,
