Name,Value,MOE
Median household income,74664,431
Average income,103618,641
Percent high school degree or higher,89,0.1
Percent Bachelor's degree or higher,34.2,0.3
Average household size,2.64,
Percent in poverty,13.5,0.2
Percent population 16 years and over in labor force,63.7,0.2
Percent employed,59.8,0.2
Percent disabled,12.9,0.1
Percent with health coverage,87.4,0.2
Percent of all workers 16 and over who commute to work,85.8,0.3
Percent who drive alone to work,72.3,0.2
Percent who carpool to work,9,0.1
Percent who use public transportation to commute to work,1.3,0.1
Percent who walk to work,1.3,0
Percent who use other means to commute to work,1.8,0.1
Percent who work from home,14.2,0.2
Average travel time to work (mins),28.3,0.2
Percent with no vehicles available,5.9,0.1
Percent with 1 vehicle available,32.5,0.2
Percent with 2 or more vehicles available,61.5,0.3
Percent veterans,7.4,0.1
Percent foreign born,10.8,
Percent speaking Spanish at home,8.4,0.1
Percent speaking other Indo-European languages at home,2.7,0.1
Percent speaking other Asian and Pacific Island languages at home,2.6,0
