Name,Value,MOE
Total consumer expenditures per household ,112106.81,
Consumer expenditures per household on Alcoholic beverages,787.69,
Consumer expenditures per household on Alcoholic beverages consumed at home,496.89,
Consumer expenditures per household on Apparel & services,2666.81,
Consumer expenditures per household on Men's Apparel,481.72,
Consumer expenditures per household on Women's Apparel,908.37,
Consumer expenditures per household on Children's Apparel,374.63,
Consumer expenditures per household on Boys' Apparel,151.27,
Consumer expenditures per household on Girls' Apparel,132.24,
Consumer expenditures per household on Footware,554.83,
Consumer expenditures per household on Dining out (Food away from home),4520.6,
Consumer expenditures per household on Education,2058.65,
Consumer expenditures per household on Entertainment / Recreation,4609.24,
Consumer expenditures per household on Club membership fees,341.09,
Consumer expenditures per household on Dating services,0.91,
Consumer expenditures per household on Pet food,398.52,
Consumer expenditures per household on Pet services,131.99,
Consumer expenditures per household on Food consumed at home,8265.44,
Consumer expenditures per household on Bakery products consumed at home,1061.22,
Consumer expenditures per household on Dairy products consumed at home,787.85,
Consumer expenditures per household on Fruits and vegetables consumed at home,1705.42,
"Consumer expenditures per household on Meat, poultry, fish, and eggs consumed at home",1770.76,
Consumer expenditures per household on Nonalcoholic beverages consumed at home,806.96,
Consumer expenditures per household on Snacks and other food products consumed at home,2940.18,
Consumer expenditures per household on Health Care,8156,
Consumer expenditures per household on Medical services,1673.75,
Consumer expenditures per household on Nonprescription drugs,178.45,
Consumer expenditures per household on Household Services,3154.21,
Consumer expenditures per household on Care for the elderly and handicapped,63.11,
Consumer expenditures per household on Lawn and garden services,769.4,
Consumer expenditures per household on Housekeeping services,307.4,
Consumer expenditures per household on PC repair,7.6,
Consumer expenditures per household on Housing,38496.35,
Consumer expenditures per household on Home improvements,6456.28,
"Consumer expenditures per household on Utilities, fuel, and public services",6341.43,
Consumer expenditures per household on Phone services,2046.26,
Consumer expenditures per household on Water,1124.35,
Consumer expenditures per household on Life and other insurance,735.71,
Consumer expenditures per household on Pensions and social security,12280.36,
Consumer expenditures per household on Personal Care Products and Services,1173.92,
Consumer expenditures per household on Hair care products,122.78,
Consumer expenditures per household on Personal care products,534.35,
Consumer expenditures per household on Local Transportation,11776.8,
Consumer expenditures per household on Gasoline,3419.67,
Consumer expenditures per household on Vehicle maintenance and repair,1611.56,
Consumer expenditures per household on Travel,3576.29,
Consumer expenditures per household on Airline fares,801.06,
Consumer expenditures per household on Auto/Truck rental on trips,133.37,
Consumer expenditures per household on Lodging on trips,1151.21,
Consumer expenditures per household on Food and drink on trips,863.53,
Consumer expenditures per household on Entertainment on trips,206.2,
Consumer expenditures per household on Child Care,652.33,
Consumer expenditures per household on Day Care/Nursery & Preschools,430.44,
Consumer expenditures per household on Babysitting/Child Care in Own/Other Home,221.88,
