Name,Value,MOE
Total population,1445635,
Percent male,50.3,
Percent female,49.7,
Percent under 5 years,5.7,
Percent under 18 years,20.9,
Percent 18 years and over ,79.1,
Percent 21 years and over,76,
Percent working age (25 to 64 years),51.2,
Percent 65 years and over,19.9,
Median age,40.6,0.2
Percent White,22.51,
Percent Black or African American,1.92,
Percent American Indian and Alaska Native,0.27,
Percent Asian,37.27,
Percent Native Hawaiian and Other Pacific Islander,10.31,
Percent some other race,1.68,
Percent two or more races,26.05,
Percent Hispanic (of any race),9.84,
