Name,Value,MOE
All Employer establishments (Total),32863,
Average employment per employer,15,
Establishments with less than 5 employees,17866,
Establishments with 5 to 9 employees,6126,
Average payroll per employee,55472,
Establishments with 10 to 19 employees,4183,
Establishments with 20 to 49 employees,3005,
Establishments with 50 to 99 employees,999,
Population per employer,44,
Establishments with 100 to 249 employees,458,
Establishments with 250 to 499 employees,138,
Establishments with 500 to 999 employees,62,
"Establishments with 1,000 employees or more",26,
Total employment of employers,507390,
"Total annual payroll of employers ($1,000)",28145945,
Number of farm operations (Ag only),5429,
Total contract and hired labor expense (Ag only),19335000,
Total operating expense (Ag only),422749000,
Establishment Entrants,3330,
Establishment Exits,2602,
All Employer firms (Total),22949,
Firms Age 0 (startups),1760,
Firms Age 1-5 Years,5054,
Firms Age 6-10 Year,3170,
Firms Age 11+ Years,10729,
Firms born before 1977,2236,
Firms with 1 to 19 employees,20829,
Firms with 20 to 499 employees,2692,
Firms with 500 or more employees,55,
