Name,Value,MOE
Total Civilian employed population 16 years and over,668094,4087
"Agriculture, forestry, fishing and hunting, and mining",8305,708
"Arts, entertainment, and recreation, and accommodation and food services",99979,2820
Construction,48749,1871
"Educational services, and health care and social assistance",149330,2561
"Finance and insurance, and real estate and rental and leasing",42944,1464
Information,10113,868
Manufacturing,19344,1079
"Other services, except public administration",29385,1285
"Professional, scientific, and management, and administrative and waste management services",71983,2218
Public administration,57252,1907
Retail trade,73110,1862
"Transportation and warehousing, and utilities",43124,1565
Wholesale trade,14476,1000
