Name,Value,MOE
Total number of housing units,564905,196
Owner-occupied housing units,305869,3061
Renter-occupied housing units,183122,2524
Single-family detached units,303073,2462
Home ownership rate,62.6,0.6
Vacancy rate,13.4,0.3
Percent with a broadband internet subscription,91,0.4
Median owner-occupied housing unit value,808200,6690
Average housing value,934309,17215
Median selected monthly owner cost,1972,33
Average monthly owner cost (with a mortgage),1976,39
Median rent (housing),1938,19
Average rent (housing),1936,42
Median year structure built,1979,1
