Name,Value,MOE
Total number of employer and nonemployer businesses,277249,
"Total sales, value of shipments, or revenue of employer and nonemployer businesses ($1,000)",0,
Minority-owned non-employer businesses,148270,
White-owned non-employer businesses,112230,
Black-owned non-employer businesses,5150,
American Indian- and Alaska Native-owned employer businesses,4200,
Asian-owned non-employer businesses,115060,
Native Hawaiian- and Other Pacific Islander-owned non-employer businesses,38000,
Hispanic-owned non-employer businesses,16290,
Female-owned non-employer businesses,104970,
Male-owned non-employer businesses,115850,
Veteran-owned non-employer businesses,14470,
