Name,Value,MOE
Establishments,59452,
Number of establishments change (2023 to 2024),4143,
Number of establishments percent change (2023 to 2024) (%),7.5,
Number of establishments location quotient,0.99,
Employment (1st month of the quarter),517033,
Employment change month 1 (1st month of the quarter in 2023 to 2024),8061,
Employment percent change (1st month of the quarter in 2023 to 2024) (%),1.6,
Employment location quotient (1st month of the quarter),0.94,
Employment (2nd month of the quarter),522903,
Employment change month 2 (2nd month of the quarter in 2023 to 2024),8316,
Employment percent change (2nd month of the quarter in 2023 to 2024) (%),1.6,
Employment location quotient (2nd month of the quarter),0.95,
Employment (3rd month of the quarter),525664,
Employment change month 3 (3rd month of the quarter in 2023 to 2024),5911,
Employment percent change (3rd month of the quarter in 2023 to 2024) (%),1.1,
Employment location quotient (3rd month of the quarter),0.95,
Total wages ($),8943263099,
Total wages change (2023 to 2024) ($),524625925,
Total wages percent change (2023 to 2024) (%),6.2,
Total wages location quotient,0.92,
Average weekly wages ($),1318,
Average weekly wages change (2023 to 2024) ($),59,
Average weekly wages percent change (2023 to 2024) (%),4.7,
Average weekly wages location quotient,0.97,
