Name,Value,MOE
Median household income,98317,980
Average income,128123,1612
Percent high school degree or higher,92.9,0.2
Percent Bachelor's degree or higher,35.5,0.4
Average household size,2.88,
Percent in poverty,10,0.3
Percent population 16 years and over in labor force,64,0.3
Percent employed,56.8,0.3
Percent disabled,12.5,0.2
Percent with health coverage,96.3,0.2
Percent of all workers 16 and over who commute to work,91.2,0.6
Percent who drive alone to work,65.9,0.5
Percent who carpool to work,13.8,0.3
Percent who use public transportation to commute to work,4.1,0.2
Percent who walk to work,4.2,0.2
Percent who use other means to commute to work,3.2,0.2
Percent who work from home,8.8,0.3
Average travel time to work (mins),26.4,0.3
Percent with no vehicles available,8.2,0.3
Percent with 1 vehicle available,32.7,0.5
Percent with 2 or more vehicles available,59.1,0.7
Percent veterans,8.1,0.2
Percent foreign born,18.1,
Percent speaking Spanish at home,2,0.1
Percent speaking other Indo-European languages at home,1.3,0.1
Percent speaking other Asian and Pacific Island languages at home,20.8,0.4
