Name,Value,MOE
All Employer establishments (Total),114369,
All Nonemployer firms,321828,
Total employment of employers,1379151,
"Total annual payroll of employers ($1,000)",73134552,
"Total revenue of employers ($1,000)",420281708,
"Revenue of nonemployer firms ($1,000)",18066956,
Establishment Entrants,12966,
Establishment Exits,9614,
All Employer firms (Total),82096,
Firms Age 0 (startups),8732,
Firms Age 1-5 Years,23778,
Firms Age 6-10 Year,12163,
Firms Age 11+ Years,32292,
Firms born before 1977,5129,
Firms with 1 to 19 employees,37049,
Firms with 20 to 499 employees,4422,
Firms with 500 or more employees,74,
"Total revenue of employers ($1,000) for Islands",n/a,
