Name,Value,MOE
Total consumer expenditures per household ,88956.9,
Consumer expenditures per household on Alcoholic beverages,567.78,
Consumer expenditures per household on Alcoholic beverages consumed at home,350.92,
Consumer expenditures per household on Apparel & services,2102,
Consumer expenditures per household on Men's Apparel,390.95,
Consumer expenditures per household on Women's Apparel,707.38,
Consumer expenditures per household on Children's Apparel,332.13,
Consumer expenditures per household on Boys' Apparel,122.78,
Consumer expenditures per household on Girls' Apparel,123.41,
Consumer expenditures per household on Footware,442.98,
Consumer expenditures per household on Dining out (Food away from home),3515.86,
Consumer expenditures per household on Education,1501.16,
Consumer expenditures per household on Entertainment / Recreation,3738.63,
Consumer expenditures per household on Club membership fees,267.41,
Consumer expenditures per household on Dating services,0.69,
Consumer expenditures per household on Pet food,345.18,
Consumer expenditures per household on Pet services,98.31,
Consumer expenditures per household on Food consumed at home,6524.92,
Consumer expenditures per household on Bakery products consumed at home,838.63,
Consumer expenditures per household on Dairy products consumed at home,622.16,
Consumer expenditures per household on Fruits and vegetables consumed at home,1271.43,
"Consumer expenditures per household on Meat, poultry, fish, and eggs consumed at home",1397.47,
Consumer expenditures per household on Nonalcoholic beverages consumed at home,667.73,
Consumer expenditures per household on Snacks and other food products consumed at home,2395.23,
Consumer expenditures per household on Health Care,7182.19,
Consumer expenditures per household on Medical services,1447.82,
Consumer expenditures per household on Nonprescription drugs,168.07,
Consumer expenditures per household on Household Services,2512,
Consumer expenditures per household on Care for the elderly and handicapped,29.12,
Consumer expenditures per household on Lawn and garden services,658.44,
Consumer expenditures per household on Housekeeping services,218.58,
Consumer expenditures per household on PC repair,5.11,
Consumer expenditures per household on Housing,28887.4,
Consumer expenditures per household on Home improvements,5362.59,
"Consumer expenditures per household on Utilities, fuel, and public services",5470.69,
Consumer expenditures per household on Phone services,1760.09,
Consumer expenditures per household on Water,890.31,
Consumer expenditures per household on Life and other insurance,623.51,
Consumer expenditures per household on Pensions and social security,9506.28,
Consumer expenditures per household on Personal Care Products and Services,878.06,
Consumer expenditures per household on Hair care products,95.6,
Consumer expenditures per household on Personal care products,381.17,
Consumer expenditures per household on Local Transportation,10186.98,
Consumer expenditures per household on Gasoline,2946.62,
Consumer expenditures per household on Vehicle maintenance and repair,1367.7,
Consumer expenditures per household on Travel,2723.28,
Consumer expenditures per household on Airline fares,552.78,
Consumer expenditures per household on Auto/Truck rental on trips,103.97,
Consumer expenditures per household on Lodging on trips,884.37,
Consumer expenditures per household on Food and drink on trips,669.59,
Consumer expenditures per household on Entertainment on trips,164.4,
Consumer expenditures per household on Child Care,486.14,
Consumer expenditures per household on Day Care/Nursery & Preschools,354.49,
Consumer expenditures per household on Babysitting/Child Care in Own/Other Home,131.65,
