Name,Value,MOE
Total population,1893296,
Percent male,50.3,
Percent female,49.7,
Percent under 5 years,6,
Percent under 18 years,24.5,
Percent 18 years and over ,75.5,
Percent 21 years and over,70.9,
Percent working age (25 to 64 years),49.1,
Percent 65 years and over,16.6,
Median age,37.1,0.1
Percent White,83.35,
Percent Black or African American,0.75,
Percent American Indian and Alaska Native,1.14,
Percent Asian,1.32,
Percent Native Hawaiian and Other Pacific Islander,0.16,
Percent some other race,4.87,
Percent two or more races,8.42,
Percent Hispanic (of any race),13.33,
