Name,Value,MOE
Total Civilian employed population 16 years and over,896360,4239
"Agriculture, forestry, fishing and hunting, and mining",36455,1729
"Arts, entertainment, and recreation, and accommodation and food services",80167,2197
Construction,83614,2285
"Educational services, and health care and social assistance",199586,3510
"Finance and insurance, and real estate and rental and leasing",51533,2077
Information,14553,1223
Manufacturing,84303,2324
"Other services, except public administration",41047,1826
"Professional, scientific, and management, and administrative and waste management services",90922,2316
Public administration,43196,1572
Retail trade,104200,3124
"Transportation and warehousing, and utilities",45508,1887
Wholesale trade,21276,1260
