Name,Value,MOE
Total number of housing units,776683,221
Owner-occupied housing units,502140,3374
Renter-occupied housing units,191681,2875
Single-family detached units,574147,2629
Home ownership rate,72.4,0.4
Vacancy rate,10.7,0.3
Percent with a broadband internet subscription,91,0.3
Median owner-occupied housing unit value,376000,2962
Average housing value,450896,6536
Median selected monthly owner cost,1159,13
Average monthly owner cost (with a mortgage),1129,17
Median rent (housing),1150,13
Average rent (housing),1100,28
Median year structure built,1990,1
