Name,Value,MOE
Median household income,74636,877
Average income,98748,1145
Percent high school degree or higher,91.7,0.2
Percent Bachelor's degree or higher,31.2,0.4
Average household size,2.66,
Percent in poverty,10.6,0.3
Percent population 16 years and over in labor force,63,0.3
Percent employed,60.4,0.3
Percent disabled,13.8,0.2
Percent with health coverage,90.7,0.3
Percent of all workers 16 and over who commute to work,87.8,0.5
Percent who drive alone to work,73.5,0.4
Percent who carpool to work,9,0.3
Percent who use public transportation to commute to work,0.6,0.1
Percent who walk to work,2.7,0.2
Percent who use other means to commute to work,1.9,0.1
Percent who work from home,12.2,0.3
Average travel time to work (mins),21.6,0.3
Percent with no vehicles available,3.7,0.2
Percent with 1 vehicle available,23.9,0.5
Percent with 2 or more vehicles available,72.3,0.6
Percent veterans,8.3,0.2
Percent foreign born,5.7,
Percent speaking Spanish at home,8,0.2
Percent speaking other Indo-European languages at home,1.4,0.1
Percent speaking other Asian and Pacific Island languages at home,0.9,0.1
