Name,Value,MOE
Total consumer expenditures per household ,100526.89,
Consumer expenditures per household on Alcoholic beverages,666.45,
Consumer expenditures per household on Alcoholic beverages consumed at home,403.83,
Consumer expenditures per household on Apparel & services,2452.95,
Consumer expenditures per household on Men's Apparel,455.57,
Consumer expenditures per household on Women's Apparel,818.49,
Consumer expenditures per household on Children's Apparel,382.35,
Consumer expenditures per household on Boys' Apparel,143.44,
Consumer expenditures per household on Girls' Apparel,137.48,
Consumer expenditures per household on Footware,513.57,
Consumer expenditures per household on Dining out (Food away from home),4012.96,
Consumer expenditures per household on Education,1757.14,
Consumer expenditures per household on Entertainment / Recreation,4163.5,
Consumer expenditures per household on Club membership fees,307.87,
Consumer expenditures per household on Dating services,0.87,
Consumer expenditures per household on Pet food,378.42,
Consumer expenditures per household on Pet services,108.94,
Consumer expenditures per household on Food consumed at home,7486.88,
Consumer expenditures per household on Bakery products consumed at home,961.94,
Consumer expenditures per household on Dairy products consumed at home,707.95,
Consumer expenditures per household on Fruits and vegetables consumed at home,1471.18,
"Consumer expenditures per household on Meat, poultry, fish, and eggs consumed at home",1615.83,
Consumer expenditures per household on Nonalcoholic beverages consumed at home,764.67,
Consumer expenditures per household on Snacks and other food products consumed at home,2729.97,
Consumer expenditures per household on Health Care,7943.7,
Consumer expenditures per household on Medical services,1587.88,
Consumer expenditures per household on Nonprescription drugs,182.51,
Consumer expenditures per household on Household Services,2810.73,
Consumer expenditures per household on Care for the elderly and handicapped,36.9,
Consumer expenditures per household on Lawn and garden services,706.01,
Consumer expenditures per household on Housekeeping services,236.53,
Consumer expenditures per household on PC repair,5.98,
Consumer expenditures per household on Housing,33017.87,
Consumer expenditures per household on Home improvements,5608.99,
"Consumer expenditures per household on Utilities, fuel, and public services",6160.3,
Consumer expenditures per household on Phone services,1999.63,
Consumer expenditures per household on Water,978.26,
Consumer expenditures per household on Life and other insurance,685.3,
Consumer expenditures per household on Pensions and social security,10742.09,
Consumer expenditures per household on Personal Care Products and Services,1006.44,
Consumer expenditures per household on Hair care products,109.62,
Consumer expenditures per household on Personal care products,434.14,
Consumer expenditures per household on Local Transportation,11444.46,
Consumer expenditures per household on Gasoline,3306.09,
Consumer expenditures per household on Vehicle maintenance and repair,1521.87,
Consumer expenditures per household on Travel,3047.52,
Consumer expenditures per household on Airline fares,626.29,
Consumer expenditures per household on Auto/Truck rental on trips,117.71,
Consumer expenditures per household on Lodging on trips,985.82,
Consumer expenditures per household on Food and drink on trips,752.95,
Consumer expenditures per household on Entertainment on trips,183.27,
Consumer expenditures per household on Child Care,555.35,
Consumer expenditures per household on Day Care/Nursery & Preschools,396.27,
Consumer expenditures per household on Babysitting/Child Care in Own/Other Home,159.07,
