Name,Value,MOE
Total population,12692653,
Percent male,49.4,
Percent female,50.6,
Percent under 5 years,5.6,
Percent under 18 years,22.1,
Percent 18 years and over ,77.9,
Percent 21 years and over,74,
Percent working age (25 to 64 years),52.3,
Percent 65 years and over,16.6,
Median age,38.9,0.1
Percent White,63.33,
Percent Black or African American,13.79,
Percent American Indian and Alaska Native,0.53,
Percent Asian,5.82,
Percent Native Hawaiian and Other Pacific Islander,0.04,
Percent some other race,7.25,
Percent two or more races,9.24,
Percent Hispanic (of any race),18.5,
