Name,Value,MOE
All Employer establishments (Total),322349,
Average employment per employer,17,
Establishments with less than 5 employees,184518,
Establishments with 5 to 9 employees,53705,
Average payroll per employee,69368,
Establishments with 10 to 19 employees,38066,
Establishments with 20 to 49 employees,28011,
Establishments with 50 to 99 employees,9684,
Population per employer,40,
Establishments with 100 to 249 employees,5690,
Establishments with 250 to 499 employees,1660,
Establishments with 500 to 999 employees,593,
"Establishments with 1,000 employees or more",422,
Total employment of employers,5533883,
"Total annual payroll of employers ($1,000)",383875437,
Number of farm operations (Ag only),58080,
Total contract and hired labor expense (Ag only),33476000,
Total operating expense (Ag only),10667482000,
Establishment Entrants,30156,
Establishment Exits,27200,
All Employer firms (Total),222489,
Firms Age 0 (startups),17009,
Firms Age 1-5 Years,51762,
Firms Age 6-10 Year,34882,
Firms Age 11+ Years,99897,
Firms born before 1977,18939,
Firms with 1 to 19 employees,199296,
Firms with 20 to 499 employees,26702,
Firms with 500 or more employees,683,
