Name,Value,MOE
Total Civilian employed population 16 years and over,6253243,12917
"Agriculture, forestry, fishing and hunting, and mining",64288,1991
"Arts, entertainment, and recreation, and accommodation and food services",516702,5690
Construction,338825,5435
"Educational services, and health care and social assistance",1470742,10992
"Finance and insurance, and real estate and rental and leasing",462565,5409
Information,103644,2582
Manufacturing,728327,6802
"Other services, except public administration",285896,4178
"Professional, scientific, and management, and administrative and waste management services",794813,7423
Public administration,234863,3635
Retail trade,650779,6519
"Transportation and warehousing, and utilities",433291,5882
Wholesale trade,168508,4379
