Name,Value,MOE
Total number of housing units,5443501,767
Owner-occupied housing units,3343034,15066
Renter-occupied housing units,1658870,9456
Single-family detached units,3172251,7946
Home ownership rate,66.8,0.3
Vacancy rate,8.1,0.1
Percent with a broadband internet subscription,89.4,0.2
Median owner-occupied housing unit value,250500,863
Average housing value,318239,2332
Median selected monthly owner cost,1410,5
Average monthly owner cost (with a mortgage),1376,10
Median rent (housing),1227,5
Average rent (housing),1212,11
Median year structure built,1970,1
