Name,Value,MOE
Total number of employer and nonemployer businesses,2616402,
"Total sales, value of shipments, or revenue of employer and nonemployer businesses ($1,000)",0,
Minority-owned non-employer businesses,748190,
White-owned non-employer businesses,1523350,
Black-owned non-employer businesses,346720,
American Indian- and Alaska Native-owned employer businesses,14180,
Asian-owned non-employer businesses,180000,
Native Hawaiian- and Other Pacific Islander-owned non-employer businesses,2350,
Hispanic-owned non-employer businesses,254180,
Female-owned non-employer businesses,879450,
Male-owned non-employer businesses,1123900,
Veteran-owned non-employer businesses,67910,
