Name,Value,MOE
Median household income,81702,363
Average income,112993,546
Percent high school degree or higher,90.3,0.1
Percent Bachelor's degree or higher,37.2,0.2
Average household size,2.48,
Percent in poverty,11.7,0.1
Percent population 16 years and over in labor force,65.1,0.1
Percent employed,61.2,0.1
Percent disabled,11.8,0.1
Percent with health coverage,93,0.1
Percent of all workers 16 and over who commute to work,86,0.2
Percent who drive alone to work,67.3,0.2
Percent who carpool to work,7.7,0.1
Percent who use public transportation to commute to work,6.4,0.1
Percent who walk to work,2.7,0.1
Percent who use other means to commute to work,1.9,0.1
Percent who work from home,14,0.1
Average travel time to work (mins),28.1,0.2
Percent with no vehicles available,10.9,0.1
Percent with 1 vehicle available,35.4,0.2
Percent with 2 or more vehicles available,53.7,0.2
Percent veterans,5,0
Percent foreign born,14.4,
Percent speaking Spanish at home,13.9,0.1
Percent speaking other Indo-European languages at home,5.6,0.1
Percent speaking other Asian and Pacific Island languages at home,3,0
