Name,Value,MOE
All Employer establishments (Total),307397,
All Nonemployer firms,961842,
Total employment of employers,5751683,
"Total annual payroll of employers ($1,000)",316031228,
"Total revenue of employers ($1,000)",2521866115,
"Revenue of nonemployer firms ($1,000)",49204042,
Establishment Entrants,26890,
Establishment Exits,23680,
All Employer firms (Total),204547,
Firms Age 0 (startups),16147,
Firms Age 1-5 Years,45888,
Firms Age 6-10 Year,28450,
Firms Age 11+ Years,92440,
Firms born before 1977,21622,
Firms with 1 to 19 employees,88832,
Firms with 20 to 499 employees,14647,
Firms with 500 or more employees,373,
"Total revenue of employers ($1,000) for Islands",n/a,
