Name,Value,MOE
Total consumer expenditures per household ,83968.68,
Consumer expenditures per household on Alcoholic beverages,537.45,
Consumer expenditures per household on Alcoholic beverages consumed at home,324.49,
Consumer expenditures per household on Apparel & services,2014.06,
Consumer expenditures per household on Men's Apparel,375.95,
Consumer expenditures per household on Women's Apparel,673.8,
Consumer expenditures per household on Children's Apparel,322.24,
Consumer expenditures per household on Boys' Apparel,119.13,
Consumer expenditures per household on Girls' Apparel,118.06,
Consumer expenditures per household on Footware,420.73,
Consumer expenditures per household on Dining out (Food away from home),3282.74,
Consumer expenditures per household on Education,1417.78,
Consumer expenditures per household on Entertainment / Recreation,3519.33,
Consumer expenditures per household on Club membership fees,254.24,
Consumer expenditures per household on Dating services,0.67,
Consumer expenditures per household on Pet food,332.64,
Consumer expenditures per household on Pet services,89.53,
Consumer expenditures per household on Food consumed at home,6235.88,
Consumer expenditures per household on Bakery products consumed at home,803,
Consumer expenditures per household on Dairy products consumed at home,591.48,
Consumer expenditures per household on Fruits and vegetables consumed at home,1202.17,
"Consumer expenditures per household on Meat, poultry, fish, and eggs consumed at home",1340.41,
Consumer expenditures per household on Nonalcoholic beverages consumed at home,646.77,
Consumer expenditures per household on Snacks and other food products consumed at home,2298.82,
Consumer expenditures per household on Health Care,6976.68,
Consumer expenditures per household on Medical services,1382.47,
Consumer expenditures per household on Nonprescription drugs,159.9,
Consumer expenditures per household on Household Services,2355.83,
Consumer expenditures per household on Care for the elderly and handicapped,27.45,
Consumer expenditures per household on Lawn and garden services,620.59,
Consumer expenditures per household on Housekeeping services,188.88,
Consumer expenditures per household on PC repair,4.88,
Consumer expenditures per household on Housing,27005.93,
Consumer expenditures per household on Home improvements,4885.36,
"Consumer expenditures per household on Utilities, fuel, and public services",5334.39,
Consumer expenditures per household on Phone services,1716.21,
Consumer expenditures per household on Water,837.66,
Consumer expenditures per household on Life and other insurance,591.17,
Consumer expenditures per household on Pensions and social security,8880.59,
Consumer expenditures per household on Personal Care Products and Services,815.4,
Consumer expenditures per household on Hair care products,90.83,
Consumer expenditures per household on Personal care products,344.07,
Consumer expenditures per household on Local Transportation,9840.14,
Consumer expenditures per household on Gasoline,2849.57,
Consumer expenditures per household on Vehicle maintenance and repair,1304.31,
Consumer expenditures per household on Travel,2510.2,
Consumer expenditures per household on Airline fares,490.05,
Consumer expenditures per household on Auto/Truck rental on trips,97.15,
Consumer expenditures per household on Lodging on trips,819.69,
Consumer expenditures per household on Food and drink on trips,624.1,
Consumer expenditures per household on Entertainment on trips,153.73,
Consumer expenditures per household on Child Care,445.34,
Consumer expenditures per household on Day Care/Nursery & Preschools,326.5,
Consumer expenditures per household on Babysitting/Child Care in Own/Other Home,118.83,
