Name,Value,MOE
Total population,6811752,
Percent male,49.6,
Percent female,50.4,
Percent under 5 years,6,
Percent under 18 years,23.4,
Percent 18 years and over ,76.6,
Percent 21 years and over,72.4,
Percent working age (25 to 64 years),50.5,
Percent 65 years and over,16.4,
Median age,38,0.1
Percent White,78.51,
Percent Black or African American,9.26,
Percent American Indian and Alaska Native,0.25,
Percent Asian,2.54,
Percent Native Hawaiian and Other Pacific Islander,0.03,
Percent some other race,3.14,
Percent two or more races,6.27,
Percent Hispanic (of any race),8.36,
