Name,Value,MOE
Total Civilian employed population 16 years and over,3302869,9401
"Agriculture, forestry, fishing and hunting, and mining",40486,1687
"Arts, entertainment, and recreation, and accommodation and food services",259950,4680
Construction,215076,3455
"Educational services, and health care and social assistance",772620,6899
"Finance and insurance, and real estate and rental and leasing",174160,3558
Information,39400,1626
Manufacturing,603020,5731
"Other services, except public administration",151169,3111
"Professional, scientific, and management, and administrative and waste management services",296356,4828
Public administration,119307,2945
Retail trade,358490,5029
"Transportation and warehousing, and utilities",198218,4026
Wholesale trade,74617,2502
