Name,Value,MOE
Total number of housing units,2953344,390
Owner-occupied housing units,1886485,10964
Renter-occupied housing units,795052,7010
Single-family detached units,2152554,5856
Home ownership rate,70.4,0.4
Vacancy rate,9.2,0.2
Percent with a broadband internet subscription,88.3,0.2
Median owner-occupied housing unit value,201600,922
Average housing value,246751,2402
Median selected monthly owner cost,1023,4
Average monthly owner cost (with a mortgage),990,9
Median rent (housing),1020,5
Average rent (housing),885,13
Median year structure built,1976,1
