Name,Value,MOE
Total number of employer and nonemployer businesses,1129575,
"Total sales, value of shipments, or revenue of employer and nonemployer businesses ($1,000)",0,
Minority-owned non-employer businesses,196000,
White-owned non-employer businesses,758100,
Black-owned non-employer businesses,106750,
American Indian- and Alaska Native-owned employer businesses,6030,
Asian-owned non-employer businesses,39570,
Native Hawaiian- and Other Pacific Islander-owned non-employer businesses,870,
Hispanic-owned non-employer businesses,52800,
Female-owned non-employer businesses,387690,
Male-owned non-employer businesses,489500,
Veteran-owned non-employer businesses,47830,
