Name,Value,MOE
Total consumer expenditures per household ,87809.31,
Consumer expenditures per household on Alcoholic beverages,559.74,
Consumer expenditures per household on Alcoholic beverages consumed at home,335.81,
Consumer expenditures per household on Apparel & services,2081.07,
Consumer expenditures per household on Men's Apparel,390.46,
Consumer expenditures per household on Women's Apparel,691.26,
Consumer expenditures per household on Children's Apparel,331.98,
Consumer expenditures per household on Boys' Apparel,122.1,
Consumer expenditures per household on Girls' Apparel,121.03,
Consumer expenditures per household on Footware,437.56,
Consumer expenditures per household on Dining out (Food away from home),3388.36,
Consumer expenditures per household on Education,1485.19,
Consumer expenditures per household on Entertainment / Recreation,3718.79,
Consumer expenditures per household on Club membership fees,266.31,
Consumer expenditures per household on Dating services,0.65,
Consumer expenditures per household on Pet food,358.19,
Consumer expenditures per household on Pet services,94.49,
Consumer expenditures per household on Food consumed at home,6500.95,
Consumer expenditures per household on Bakery products consumed at home,838.91,
Consumer expenditures per household on Dairy products consumed at home,621.36,
Consumer expenditures per household on Fruits and vegetables consumed at home,1253.48,
"Consumer expenditures per household on Meat, poultry, fish, and eggs consumed at home",1391.86,
Consumer expenditures per household on Nonalcoholic beverages consumed at home,670.61,
Consumer expenditures per household on Snacks and other food products consumed at home,2395.35,
Consumer expenditures per household on Health Care,7412.08,
Consumer expenditures per household on Medical services,1485.78,
Consumer expenditures per household on Nonprescription drugs,166.65,
Consumer expenditures per household on Household Services,2459.62,
Consumer expenditures per household on Care for the elderly and handicapped,29.56,
Consumer expenditures per household on Lawn and garden services,658.99,
Consumer expenditures per household on Housekeeping services,193.72,
Consumer expenditures per household on PC repair,5.08,
Consumer expenditures per household on Housing,28106.42,
Consumer expenditures per household on Home improvements,5205.97,
"Consumer expenditures per household on Utilities, fuel, and public services",5585.03,
Consumer expenditures per household on Phone services,1790.26,
Consumer expenditures per household on Water,871.48,
Consumer expenditures per household on Life and other insurance,623.14,
Consumer expenditures per household on Pensions and social security,9330.48,
Consumer expenditures per household on Personal Care Products and Services,842.31,
Consumer expenditures per household on Hair care products,94.98,
Consumer expenditures per household on Personal care products,352.69,
Consumer expenditures per household on Local Transportation,10308.54,
Consumer expenditures per household on Gasoline,2979.52,
Consumer expenditures per household on Vehicle maintenance and repair,1371.4,
Consumer expenditures per household on Travel,2643.19,
Consumer expenditures per household on Airline fares,512.77,
Consumer expenditures per household on Auto/Truck rental on trips,101.05,
Consumer expenditures per household on Lodging on trips,861.6,
Consumer expenditures per household on Food and drink on trips,658.98,
Consumer expenditures per household on Entertainment on trips,162.75,
Consumer expenditures per household on Child Care,461.72,
Consumer expenditures per household on Day Care/Nursery & Preschools,339.53,
Consumer expenditures per household on Babysitting/Child Care in Own/Other Home,122.19,
