Name,Value,MOE
Total population,3195937,
Percent male,50.1,
Percent female,49.9,
Percent under 5 years,5.9,
Percent under 18 years,23,
Percent 18 years and over ,77,
Percent 21 years and over,72.5,
Percent working age (25 to 64 years),49.2,
Percent 65 years and over,17.8,
Median age,38.6,0.1
Percent White,85.59,
Percent Black or African American,3.86,
Percent American Indian and Alaska Native,0.34,
Percent Asian,2.45,
Percent Native Hawaiian and Other Pacific Islander,0.14,
Percent some other race,2.02,
Percent two or more races,5.61,
Percent Hispanic (of any race),6.99,
