Name,Value,MOE
All Employer establishments (Total),83560,
Average employment per employer,17,
Establishments with less than 5 employees,44702,
Establishments with 5 to 9 employees,15520,
Average payroll per employee,53960,
Establishments with 10 to 19 employees,11200,
Establishments with 20 to 49 employees,7704,
Establishments with 50 to 99 employees,2486,
Population per employer,38,
Establishments with 100 to 249 employees,1286,
Establishments with 250 to 499 employees,431,
Establishments with 500 to 999 employees,142,
"Establishments with 1,000 employees or more",89,
Total employment of employers,1386299,
"Total annual payroll of employers ($1,000)",74805280,
Number of farm operations (Ag only),62085,
Total contract and hired labor expense (Ag only),33677000,
Total operating expense (Ag only),10893068000,
Establishment Entrants,6439,
Establishment Exits,6572,
All Employer firms (Total),56374,
Firms Age 0 (startups),3747,
Firms Age 1-5 Years,11976,
Firms Age 6-10 Year,7664,
Firms Age 11+ Years,25794,
Firms born before 1977,7193,
Firms with 1 to 19 employees,50821,
Firms with 20 to 499 employees,6984,
Firms with 500 or more employees,156,
