Name,Value,MOE
Total Civilian employed population 16 years and over,1629641,5512
"Agriculture, forestry, fishing and hunting, and mining",60470,1814
"Arts, entertainment, and recreation, and accommodation and food services",112729,2740
Construction,112119,2760
"Educational services, and health care and social assistance",394835,4990
"Finance and insurance, and real estate and rental and leasing",124791,2434
Information,22861,1077
Manufacturing,240105,3730
"Other services, except public administration",69718,2011
"Professional, scientific, and management, and administrative and waste management services",125965,2917
Public administration,53576,1702
Retail trade,186225,2913
"Transportation and warehousing, and utilities",83731,2084
Wholesale trade,42516,1669
