Name,Value,MOE
Total number of housing units,1427175,397
Owner-occupied housing units,932618,4790
Renter-occupied housing units,371145,3398
Single-family detached units,1032089,3051
Home ownership rate,71.5,0.3
Vacancy rate,8.6,0.3
Percent with a broadband internet subscription,87.5,0.3
Median owner-occupied housing unit value,195900,929
Average housing value,243426,2838
Median selected monthly owner cost,1083,7
Average monthly owner cost (with a mortgage),1010,10
Median rent (housing),949,5
Average rent (housing),868,14
Median year structure built,1971,1
