Name,Value,MOE
Establishments,106185,
Number of establishments change (2023 to 2024),946,
Number of establishments percent change (2023 to 2024) (%),0.9,
Number of establishments location quotient,0.97,
Employment (1st month of the quarter),1314911,
Employment change month 1 (1st month of the quarter in 2023 to 2024),-8019,
Employment percent change (1st month of the quarter in 2023 to 2024) (%),-0.6,
Employment location quotient (1st month of the quarter),0.98,
Employment (2nd month of the quarter),1314925,
Employment change month 2 (2nd month of the quarter in 2023 to 2024),-9304,
Employment percent change (2nd month of the quarter in 2023 to 2024) (%),-0.7,
Employment location quotient (2nd month of the quarter),0.98,
Employment (3rd month of the quarter),1306040,
Employment change month 3 (3rd month of the quarter in 2023 to 2024),-12651,
Employment percent change (3rd month of the quarter in 2023 to 2024) (%),-1,
Employment location quotient (3rd month of the quarter),0.98,
Total wages ($),21276048874,
Total wages change (2023 to 2024) ($),494031299,
Total wages percent change (2023 to 2024) (%),2.4,
Total wages location quotient,0.98,
Average weekly wages ($),1247,
Average weekly wages change (2023 to 2024) ($),38,
Average weekly wages percent change (2023 to 2024) (%),3.1,
Average weekly wages location quotient,1,
