Name,Value,MOE
Median household income,73147,438
Average income,95968,721
Percent high school degree or higher,93.2,0.1
Percent Bachelor's degree or higher,30.9,0.3
Average household size,2.38,
Percent in poverty,11,0.2
Percent population 16 years and over in labor force,66.5,0.2
Percent employed,64,0.2
Percent disabled,12.4,0.1
Percent with health coverage,95.1,0.1
Percent of all workers 16 and over who commute to work,89.6,0.3
Percent who drive alone to work,76.7,0.3
Percent who carpool to work,7.9,0.2
Percent who use public transportation to commute to work,0.7,0.1
Percent who walk to work,2.9,0.1
Percent who use other means to commute to work,1.3,0.1
Percent who work from home,10.4,0.2
Average travel time to work (mins),19.8,0.2
Percent with no vehicles available,5.4,0.1
Percent with 1 vehicle available,30.1,0.2
Percent with 2 or more vehicles available,64.4,0.4
Percent veterans,6.8,0.1
Percent foreign born,5.7,
Percent speaking Spanish at home,4.6,0.1
Percent speaking other Indo-European languages at home,1.8,0.1
Percent speaking other Asian and Pacific Island languages at home,1.7,0.1
