Name,Value,MOE
Beginning of Quarter Employment - All worker ages,1548889,
Beginning of Quarter Employment - Worker age 14-18,63946,
Beginning of Quarter Employment - Worker age 19-21,82189,
Beginning of Quarter Employment - Worker age 22-24,91566,
Beginning of Quarter Employment - Worker age 25-34,311527,
Beginning of Quarter Employment - Worker age 35-44,332450,
Beginning of Quarter Employment - Worker age 45-54,297590,
Beginning of Quarter Employment - Worker age 55-64,254584,
Beginning of Quarter Employment - Worker age 65-99,115038,
All Hires - All educational attainment,201338,
All Hires - Less than High School education,18962,
All Hires - High School education,39643,
All Hires - Associates degree (some college),45835,
All Hires - Bachelor's degree or higher,35518,
Separations,n/a,
Firm Job Gains,n/a,
Firm Job Loss,n/a,
Firm Job Change,n/a,
Average Monthly Earnings ($),n/a,
