Name,Value,MOE
All Employer establishments (Total),151900,
All Nonemployer firms,434036,
Total employment of employers,2450379,
"Total annual payroll of employers ($1,000)",135661429,
"Total revenue of employers ($1,000)",968068481,
"Revenue of nonemployer firms ($1,000)",24448566,
Establishment Entrants,12540,
Establishment Exits,11982,
All Employer firms (Total),105607,
Firms Age 0 (startups),7492,
Firms Age 1-5 Years,22996,
Firms Age 6-10 Year,14303,
Firms Age 11+ Years,48262,
Firms born before 1977,12553,
Firms with 1 to 19 employees,46510,
Firms with 20 to 499 employees,7019,
Firms with 500 or more employees,149,
"Total revenue of employers ($1,000) for Islands",n/a,
