Name,Value,MOE
Total consumer expenditures per household ,88972.22,
Consumer expenditures per household on Alcoholic beverages,572.32,
Consumer expenditures per household on Alcoholic beverages consumed at home,344.62,
Consumer expenditures per household on Apparel & services,2139.78,
Consumer expenditures per household on Men's Apparel,399.36,
Consumer expenditures per household on Women's Apparel,712.42,
Consumer expenditures per household on Children's Apparel,341.82,
Consumer expenditures per household on Boys' Apparel,126.2,
Consumer expenditures per household on Girls' Apparel,125.1,
Consumer expenditures per household on Footware,449.77,
Consumer expenditures per household on Dining out (Food away from home),3493.74,
Consumer expenditures per household on Education,1519.58,
Consumer expenditures per household on Entertainment / Recreation,3728.83,
Consumer expenditures per household on Club membership fees,270.4,
Consumer expenditures per household on Dating services,0.7,
Consumer expenditures per household on Pet food,349.52,
Consumer expenditures per household on Pet services,95.7,
Consumer expenditures per household on Food consumed at home,6591.78,
Consumer expenditures per household on Bakery products consumed at home,847.8,
Consumer expenditures per household on Dairy products consumed at home,625.86,
Consumer expenditures per household on Fruits and vegetables consumed at home,1275.66,
"Consumer expenditures per household on Meat, poultry, fish, and eggs consumed at home",1417.79,
Consumer expenditures per household on Nonalcoholic beverages consumed at home,680.52,
Consumer expenditures per household on Snacks and other food products consumed at home,2424.67,
Consumer expenditures per household on Health Care,7320.51,
Consumer expenditures per household on Medical services,1462.96,
Consumer expenditures per household on Nonprescription drugs,167.14,
Consumer expenditures per household on Household Services,2490.28,
Consumer expenditures per household on Care for the elderly and handicapped,29.52,
Consumer expenditures per household on Lawn and garden services,649.74,
Consumer expenditures per household on Housekeeping services,201.5,
Consumer expenditures per household on PC repair,5.16,
Consumer expenditures per household on Housing,28729.09,
Consumer expenditures per household on Home improvements,5155.27,
"Consumer expenditures per household on Utilities, fuel, and public services",5602.82,
Consumer expenditures per household on Phone services,1805.16,
Consumer expenditures per household on Water,884.05,
Consumer expenditures per household on Life and other insurance,621.69,
Consumer expenditures per household on Pensions and social security,9454.56,
Consumer expenditures per household on Personal Care Products and Services,868.85,
Consumer expenditures per household on Hair care products,96.51,
Consumer expenditures per household on Personal care products,367.98,
Consumer expenditures per household on Local Transportation,10368.35,
Consumer expenditures per household on Gasoline,2996.83,
Consumer expenditures per household on Vehicle maintenance and repair,1378.83,
Consumer expenditures per household on Travel,2669.44,
Consumer expenditures per household on Airline fares,528.38,
Consumer expenditures per household on Auto/Truck rental on trips,103.25,
Consumer expenditures per household on Lodging on trips,867.31,
Consumer expenditures per household on Food and drink on trips,662.88,
Consumer expenditures per household on Entertainment on trips,163.54,
Consumer expenditures per household on Child Care,476,
Consumer expenditures per household on Day Care/Nursery & Preschools,347.53,
Consumer expenditures per household on Babysitting/Child Care in Own/Other Home,128.48,
