Name,Value,MOE
Total population,2937569,
Percent male,50.2,
Percent female,49.8,
Percent under 5 years,6.1,
Percent under 18 years,24,
Percent 18 years and over ,76,
Percent 21 years and over,71.6,
Percent working age (25 to 64 years),49.2,
Percent 65 years and over,16.6,
Median age,37.2,0.2
Percent White,77.92,
Percent Black or African American,5.44,
Percent American Indian and Alaska Native,0.75,
Percent Asian,2.93,
Percent Native Hawaiian and Other Pacific Islander,0.09,
Percent some other race,3.91,
Percent two or more races,8.95,
Percent Hispanic (of any race),13.26,
