Name,Value,MOE
All Employer establishments (Total),75991,
Average employment per employer,16,
Establishments with less than 5 employees,40541,
Establishments with 5 to 9 employees,14231,
Average payroll per employee,55363,
Establishments with 10 to 19 employees,9837,
Establishments with 20 to 49 employees,7195,
Establishments with 50 to 99 employees,2349,
Population per employer,39,
Establishments with 100 to 249 employees,1283,
Establishments with 250 to 499 employees,362,
Establishments with 500 to 999 employees,126,
"Establishments with 1,000 employees or more",67,
Total employment of employers,1225232,
"Total annual payroll of employers ($1,000)",67832396,
Number of farm operations (Ag only),35469,
Total contract and hired labor expense (Ag only),38684000,
Total operating expense (Ag only),5539393000,
Establishment Entrants,6270,
Establishment Exits,5991,
All Employer firms (Total),52278,
Firms Age 0 (startups),3745,
Firms Age 1-5 Years,11489,
Firms Age 6-10 Year,7137,
Firms Age 11+ Years,23969,
Firms born before 1977,5938,
Firms with 1 to 19 employees,46510,
Firms with 20 to 499 employees,7019,
Firms with 500 or more employees,149,
