Name,Value,MOE
Total Civilian employed population 16 years and over,1454760,5438
"Agriculture, forestry, fishing and hunting, and mining",45519,1425
"Arts, entertainment, and recreation, and accommodation and food services",112932,3068
Construction,92579,2301
"Educational services, and health care and social assistance",361409,3410
"Finance and insurance, and real estate and rental and leasing",94640,2486
Information,23589,1260
Manufacturing,179792,3551
"Other services, except public administration",63842,1995
"Professional, scientific, and management, and administrative and waste management services",145304,3121
Public administration,67204,1968
Retail trade,154727,2987
"Transportation and warehousing, and utilities",78346,2251
Wholesale trade,34877,1521
