Name,Value,MOE
Total number of housing units,1285221,690
Owner-occupied housing units,776311,4958
Renter-occupied housing units,384404,3743
Single-family detached units,924762,3686
Home ownership rate,66.9,0.4
Vacancy rate,9.7,0.3
Percent with a broadband internet subscription,89.3,0.3
Median owner-occupied housing unit value,203400,1329
Average housing value,256946,3228
Median selected monthly owner cost,1118,8
Average monthly owner cost (with a mortgage),1067,11
Median rent (housing),1029,6
Average rent (housing),907,16
Median year structure built,1975,1
