Name,Value,MOE
Total number of employer and nonemployer businesses,529828,
"Total sales, value of shipments, or revenue of employer and nonemployer businesses ($1,000)",0,
Minority-owned non-employer businesses,74120,
White-owned non-employer businesses,376290,
Black-owned non-employer businesses,22280,
American Indian- and Alaska Native-owned employer businesses,6270,
Asian-owned non-employer businesses,14410,
Native Hawaiian- and Other Pacific Islander-owned non-employer businesses,460,
Hispanic-owned non-employer businesses,34890,
Female-owned non-employer businesses,172850,
Male-owned non-employer businesses,228480,
Veteran-owned non-employer businesses,23850,
