Name,Value,MOE
Establishments,98421,
Number of establishments change (2023 to 2024),5216,
Number of establishments percent change (2023 to 2024) (%),5.6,
Number of establishments location quotient,0.98,
Employment (1st month of the quarter),1189885,
Employment change month 1 (1st month of the quarter in 2023 to 2024),9525,
Employment percent change (1st month of the quarter in 2023 to 2024) (%),0.8,
Employment location quotient (1st month of the quarter),0.97,
Employment (2nd month of the quarter),1195628,
Employment change month 2 (2nd month of the quarter in 2023 to 2024),10237,
Employment percent change (2nd month of the quarter in 2023 to 2024) (%),0.9,
Employment location quotient (2nd month of the quarter),0.97,
Employment (3rd month of the quarter),1193978,
Employment change month 3 (3rd month of the quarter in 2023 to 2024),10130,
Employment percent change (3rd month of the quarter in 2023 to 2024) (%),0.9,
Employment location quotient (3rd month of the quarter),0.97,
Total wages ($),19482501791,
Total wages change (2023 to 2024) ($),988014754,
Total wages percent change (2023 to 2024) (%),5.3,
Total wages location quotient,0.99,
Average weekly wages ($),1256,
Average weekly wages change (2023 to 2024) ($),54,
Average weekly wages percent change (2023 to 2024) (%),4.5,
Average weekly wages location quotient,1.02,
