Name,Value,MOE
Total consumer expenditures per household ,78105.97,
Consumer expenditures per household on Alcoholic beverages,484.06,
Consumer expenditures per household on Alcoholic beverages consumed at home,298.29,
Consumer expenditures per household on Apparel & services,1832.91,
Consumer expenditures per household on Men's Apparel,338.42,
Consumer expenditures per household on Women's Apparel,627.99,
Consumer expenditures per household on Children's Apparel,293.91,
Consumer expenditures per household on Boys' Apparel,109.89,
Consumer expenditures per household on Girls' Apparel,106.49,
Consumer expenditures per household on Footware,378.4,
Consumer expenditures per household on Dining out (Food away from home),3057.69,
Consumer expenditures per household on Education,1244.83,
Consumer expenditures per household on Entertainment / Recreation,3263.46,
Consumer expenditures per household on Club membership fees,221.08,
Consumer expenditures per household on Dating services,0.65,
Consumer expenditures per household on Pet food,326.75,
Consumer expenditures per household on Pet services,80.12,
Consumer expenditures per household on Food consumed at home,5928.39,
Consumer expenditures per household on Bakery products consumed at home,763.48,
Consumer expenditures per household on Dairy products consumed at home,559.52,
Consumer expenditures per household on Fruits and vegetables consumed at home,1133.67,
"Consumer expenditures per household on Meat, poultry, fish, and eggs consumed at home",1273.35,
Consumer expenditures per household on Nonalcoholic beverages consumed at home,625.18,
Consumer expenditures per household on Snacks and other food products consumed at home,2198.38,
Consumer expenditures per household on Health Care,6626.33,
Consumer expenditures per household on Medical services,1264.39,
Consumer expenditures per household on Nonprescription drugs,157.41,
Consumer expenditures per household on Household Services,2198.55,
Consumer expenditures per household on Care for the elderly and handicapped,24.5,
Consumer expenditures per household on Lawn and garden services,590.13,
Consumer expenditures per household on Housekeeping services,176.13,
Consumer expenditures per household on PC repair,4.59,
Consumer expenditures per household on Housing,24815.26,
Consumer expenditures per household on Home improvements,4425.94,
"Consumer expenditures per household on Utilities, fuel, and public services",5136.25,
Consumer expenditures per household on Phone services,1645.91,
Consumer expenditures per household on Water,799.6,
Consumer expenditures per household on Life and other insurance,553.51,
Consumer expenditures per household on Pensions and social security,8005.74,
Consumer expenditures per household on Personal Care Products and Services,755.6,
Consumer expenditures per household on Hair care products,83.5,
Consumer expenditures per household on Personal care products,313.92,
Consumer expenditures per household on Local Transportation,9401.08,
Consumer expenditures per household on Gasoline,2795.36,
Consumer expenditures per household on Vehicle maintenance and repair,1224.2,
Consumer expenditures per household on Travel,2284.33,
Consumer expenditures per household on Airline fares,432.5,
Consumer expenditures per household on Auto/Truck rental on trips,86.43,
Consumer expenditures per household on Lodging on trips,760,
Consumer expenditures per household on Food and drink on trips,569.11,
Consumer expenditures per household on Entertainment on trips,135.94,
Consumer expenditures per household on Child Care,392.53,
Consumer expenditures per household on Day Care/Nursery & Preschools,286.61,
Consumer expenditures per household on Babysitting/Child Care in Own/Other Home,105.92,
