Name,Value,MOE
Total population,4510725,
Percent male,49.5,
Percent female,50.5,
Percent under 5 years,5.9,
Percent under 18 years,22.7,
Percent 18 years and over ,77.3,
Percent 21 years and over,73.5,
Percent working age (25 to 64 years),51.2,
Percent 65 years and over,17,
Median age,39.1,0.1
Percent White,83.68,
Percent Black or African American,7.88,
Percent American Indian and Alaska Native,0.17,
Percent Asian,1.52,
Percent Native Hawaiian and Other Pacific Islander,0.08,
Percent some other race,1.49,
Percent two or more races,5.18,
Percent Hispanic (of any race),4.7,
