Name,Value,MOE
Total Civilian employed population 16 years and over,2032890,7778
"Agriculture, forestry, fishing and hunting, and mining",36429,1444
"Arts, entertainment, and recreation, and accommodation and food services",162168,3137
Construction,127192,3065
"Educational services, and health care and social assistance",491689,6001
"Finance and insurance, and real estate and rental and leasing",114110,2917
Information,26038,1310
Manufacturing,290074,4485
"Other services, except public administration",91875,2527
"Professional, scientific, and management, and administrative and waste management services",183023,3971
Public administration,86240,2176
Retail trade,239827,4101
"Transportation and warehousing, and utilities",139353,2799
Wholesale trade,44872,1775
