Name,Value,MOE
Total number of housing units,2010655,372
Owner-occupied housing units,1223574,8238
Renter-occupied housing units,568417,5257
Single-family detached units,1359729,5969
Home ownership rate,68.3,0.4
Vacancy rate,10.9,0.3
Percent with a broadband internet subscription,87.2,0.3
Median owner-occupied housing unit value,192300,1018
Average housing value,240350,3252
Median selected monthly owner cost,926,6
Average monthly owner cost (with a mortgage),900,11
Median rent (housing),933,5
Average rent (housing),798,13
Median year structure built,1982,1
