Name,Value,MOE
Total number of employer and nonemployer businesses,749566,
"Total sales, value of shipments, or revenue of employer and nonemployer businesses ($1,000)",0,
Minority-owned non-employer businesses,94000,
White-owned non-employer businesses,552050,
Black-owned non-employer businesses,48870,
American Indian- and Alaska Native-owned employer businesses,3590,
Asian-owned non-employer businesses,16790,
Native Hawaiian- and Other Pacific Islander-owned non-employer businesses,480,
Hispanic-owned non-employer businesses,29090,
Female-owned non-employer businesses,253670,
Male-owned non-employer businesses,345650,
Veteran-owned non-employer businesses,36010,
