Name,Value,MOE
All Employer establishments (Total),216235,
All Nonemployer firms,860448,
Total employment of employers,3287891,
"Total annual payroll of employers ($1,000)",180945613,
"Total revenue of employers ($1,000)",1484372979,
"Revenue of nonemployer firms ($1,000)",43303692,
Establishment Entrants,18872,
Establishment Exits,18108,
All Employer firms (Total),150512,
Firms Age 0 (startups),11349,
Firms Age 1-5 Years,33384,
Firms Age 6-10 Year,21871,
Firms Age 11+ Years,70306,
Firms born before 1977,13602,
Firms with 1 to 19 employees,66187,
Firms with 20 to 499 employees,10008,
Firms with 500 or more employees,145,
"Total revenue of employers ($1,000) for Islands",n/a,
