Name,Value,MOE
Total consumer expenditures per household ,75667.75,
Consumer expenditures per household on Alcoholic beverages,478.89,
Consumer expenditures per household on Alcoholic beverages consumed at home,293.7,
Consumer expenditures per household on Apparel & services,1835.81,
Consumer expenditures per household on Men's Apparel,335.19,
Consumer expenditures per household on Women's Apparel,631.19,
Consumer expenditures per household on Children's Apparel,297.7,
Consumer expenditures per household on Boys' Apparel,111.28,
Consumer expenditures per household on Girls' Apparel,107.67,
Consumer expenditures per household on Footware,378.62,
Consumer expenditures per household on Dining out (Food away from home),3020.06,
Consumer expenditures per household on Education,1214.39,
Consumer expenditures per household on Entertainment / Recreation,3108.53,
Consumer expenditures per household on Club membership fees,214.76,
Consumer expenditures per household on Dating services,0.71,
Consumer expenditures per household on Pet food,297.52,
Consumer expenditures per household on Pet services,77.31,
Consumer expenditures per household on Food consumed at home,5746.92,
Consumer expenditures per household on Bakery products consumed at home,736.25,
Consumer expenditures per household on Dairy products consumed at home,536.54,
Consumer expenditures per household on Fruits and vegetables consumed at home,1101.32,
"Consumer expenditures per household on Meat, poultry, fish, and eggs consumed at home",1246.41,
Consumer expenditures per household on Nonalcoholic beverages consumed at home,606.72,
Consumer expenditures per household on Snacks and other food products consumed at home,2126.4,
Consumer expenditures per household on Health Care,6206.99,
Consumer expenditures per household on Medical services,1179.39,
Consumer expenditures per household on Nonprescription drugs,150.07,
Consumer expenditures per household on Household Services,2126.68,
Consumer expenditures per household on Care for the elderly and handicapped,22.71,
Consumer expenditures per household on Lawn and garden services,547.99,
Consumer expenditures per household on Housekeeping services,172.72,
Consumer expenditures per household on PC repair,4.47,
Consumer expenditures per household on Housing,24376.77,
Consumer expenditures per household on Home improvements,4125.74,
"Consumer expenditures per household on Utilities, fuel, and public services",4916.07,
Consumer expenditures per household on Phone services,1591.56,
Consumer expenditures per household on Water,773.01,
Consumer expenditures per household on Life and other insurance,520.78,
Consumer expenditures per household on Pensions and social security,7749.42,
Consumer expenditures per household on Personal Care Products and Services,745.8,
Consumer expenditures per household on Hair care products,81.02,
Consumer expenditures per household on Personal care products,314.49,
Consumer expenditures per household on Local Transportation,9036.24,
Consumer expenditures per household on Gasoline,2676.23,
Consumer expenditures per household on Vehicle maintenance and repair,1173.82,
Consumer expenditures per household on Travel,2200.11,
Consumer expenditures per household on Airline fares,426.55,
Consumer expenditures per household on Auto/Truck rental on trips,85.22,
Consumer expenditures per household on Lodging on trips,725.32,
Consumer expenditures per household on Food and drink on trips,547.3,
Consumer expenditures per household on Entertainment on trips,131.2,
Consumer expenditures per household on Child Care,390.31,
Consumer expenditures per household on Day Care/Nursery & Preschools,283.63,
Consumer expenditures per household on Babysitting/Child Care in Own/Other Home,106.69,
