Name,Value,MOE
Total population,4621025,
Percent male,49,
Percent female,51,
Percent under 5 years,6.3,
Percent under 18 years,23.6,
Percent 18 years and over ,76.4,
Percent 21 years and over,72.4,
Percent working age (25 to 64 years),51,
Percent 65 years and over,16.3,
Median age,37.8,0.1
Percent White,57.97,
Percent Black or African American,31.05,
Percent American Indian and Alaska Native,0.6,
Percent Asian,1.73,
Percent Native Hawaiian and Other Pacific Islander,0.06,
Percent some other race,2.32,
Percent two or more races,6.27,
Percent Hispanic (of any race),6.95,
