Name,Value,MOE
All Employer establishments (Total),108161,
Average employment per employer,15,
Establishments with less than 5 employees,55750,
Establishments with 5 to 9 employees,21468,
Average payroll per employee,55032,
Establishments with 10 to 19 employees,14812,
Establishments with 20 to 49 employees,10365,
Establishments with 50 to 99 employees,3340,
Population per employer,43,
Establishments with 100 to 249 employees,1797,
Establishments with 250 to 499 employees,419,
Establishments with 500 to 999 employees,130,
"Establishments with 1,000 employees or more",80,
Total employment of employers,1644036,
"Total annual payroll of employers ($1,000)",90475354,
Number of farm operations (Ag only),10119,
Total contract and hired labor expense (Ag only),27105000,
Total operating expense (Ag only),1752876000,
Establishment Entrants,9436,
Establishment Exits,9054,
All Employer firms (Total),74620,
Firms Age 0 (startups),5674,
Firms Age 1-5 Years,16683,
Firms Age 6-10 Year,10921,
Firms Age 11+ Years,34902,
Firms born before 1977,6440,
Firms with 1 to 19 employees,66187,
Firms with 20 to 499 employees,10008,
Firms with 500 or more employees,145,
