Name,Value,MOE
Total Civilian employed population 16 years and over,2013227,9470
"Agriculture, forestry, fishing and hunting, and mining",66501,2491
"Arts, entertainment, and recreation, and accommodation and food services",190182,4293
Construction,167317,3742
"Educational services, and health care and social assistance",509127,6955
"Finance and insurance, and real estate and rental and leasing",103615,2838
Information,28098,1485
Manufacturing,150585,3683
"Other services, except public administration",104880,3327
"Professional, scientific, and management, and administrative and waste management services",193442,4149
Public administration,108124,3324
Retail trade,228008,4473
"Transportation and warehousing, and utilities",116106,3211
Wholesale trade,47242,2257
